"";"x"
"1";"ATR"
"2";"AURKA"
"3";"AURKB"
"4";"BLM"
"5";"BUB1"
"6";"CASP8AP2"
"7";"CBX5"
"8";"CCNA2"
"9";"CCNB1"
"10";"CCNE1"
"11";"CDC20"
"12";"CDC7"
"13";"CDK2"
"14";"CDKN1B"
"15";"CDKN2A"
"16";"CDKN3"
"17";"CHEK2"
"18";"CKS2"
"19";"CTPS1"
"20";"CUL2"
"21";"DLGAP5"
"22";"DNMT1"
"23";"E2F3"
"24";"ECT2"
"25";"EZH2"
"26";"FBXO5"
"27";"GTSE1"
"28";"HELLS"
"29";"HIST1H3H"
"30";"HJURP"
"31";"HMGB2"
"32";"KIF2C"
"33";"KNTC1"
"34";"KPNA2"
"35";"LIG1"
"36";"LIN9"
"37";"MAD2L1"
"38";"MAX"
"39";"MCM3"
"40";"MCM5"
"41";"MCM6"
"42";"MELK"
"43";"MKI67"
"44";"NASP"
"45";"NDC80"
"46";"NOLC1"
"47";"NUF2"
"48";"NUP62"
"49";"NUSAP1"
"50";"PA2G4"
"51";"PLK4"
"52";"PML"
"53";"POLE2"
"54";"PRC1"
"55";"PSIP1"
"56";"RACGAP1"
"57";"RAD9A"
"58";"RPA1"
"59";"RUVBL1"
"60";"SKP2"
"61";"SMC1A"
"62";"SMC4"
"63";"STMN1"
"64";"TERF1"
"65";"TFDP1"
"66";"TOP2A"
"67";"TOP3A"
"68";"TP53"
"69";"TPX2"
"70";"TTK"
"71";"UBB"
"72";"WHSC1"
