"";"x"
"1";"ACTA2"
"2";"ANXA1"
"3";"CALD1"
"4";"CD55"
"5";"COL11A1"
"6";"COL1A1"
"7";"COL1A2"
"8";"COL3A1"
"9";"COL5A1"
"10";"COL5A2"
"11";"COMP"
"12";"DST"
"13";"EDIL3"
"14";"EFNB2"
"15";"F3"
"16";"FBN1"
"17";"FGF13"
"18";"FLT1"
"19";"FN1"
"20";"GNG12"
"21";"GSN"
"22";"IGFBP4"
"23";"IGFBP7"
"24";"ITGA2"
"25";"ITGAV"
"26";"JAG1"
"27";"KDR"
"28";"LOX"
"29";"MMP14"
"30";"MMP2"
"31";"NOTCH4"
"32";"PCOLCE"
"33";"PDGFA"
"34";"PDGFRB"
"35";"PDLIM7"
"36";"PLAT"
"37";"PMEPA1"
"38";"RB1"
"39";"RUNX1"
"40";"SERPINF1"
"41";"SFRP4"
"42";"SPARC"
"43";"SPDEF"
"44";"THBS1"
"45";"THBS2"
"46";"TIMP3"
"47";"VEGFB"
"48";"VEGFC"
